pars,period,Method,GRAND_ID,nrmse_stor,nrmse_release,kge_stor,kge_release,pbias_stor,pbias_release,nse_stor,nse_release,r2_stor,r2_release
fitted,Fitting,starfit,55,66,85.4,0.7746219849960995,0.5807405989160865,-6.3,8.8,0.5638028240972313,0.27021593061089744,0.6654369636870526,0.3634169184763957
default,Evaluation,gdrom,57,117.6,96.2,0.5294879980801774,0.549546768447719,-22.4,-1.8,-0.3823049670289631,0.0743829443939592,0.5071086307254353,0.30345920034319457
default,Evaluation,h06,57,63.9,93.8,0.6138931007721719,0.21642667239846258,-8,2.6,0.5914940483437345,0.12003540170289884,0.6886945902141108,0.14230232578530047
default,Evaluation,natlake,57,99,100,0.2919445328983098,-0.12718305946165875,-19.6,3.3,0.020036727576547397,-6.06777842706574e-5,0.6476872826822075,0.019103394223825173
default,Evaluation,rulebasedloc200,57,64,63.7,0.6755574206932196,0.7812319177491003,10.9,2.9,0.5897029180800053,0.5945926359191014,0.7347132943061973,0.621810115977243
default,Evaluation,sdp,57,81.5,99.3,0.5112406972197187,0.14550007166126366,17.1,2.5,0.33557609151877565,0.01427926418030323,0.7440459082517147,0.07962073263453788
default,Evaluation,starfit,57,200.5,78,0.3904099913588778,0.6287974661993276,-58.3,12.2,-3.0212176207645776,0.3913357622653414,0.6895890983533418,0.4470945088088131
default,Fitting,gdrom,57,65.9,83.9,0.7850953237113265,0.606114691156586,0.4,0.8,0.5657514345604122,0.2958179916419459,0.646569086741691,0.3807127829942202
default,Fitting,h06,57,59.6,87.9,0.6376910226989818,0.29936115462034674,12.8,-0.8,0.6443178467616415,0.2271342480968238,0.7459265195317009,0.2298435565689934
default,Fitting,natlake,57,77.8,98,0.2887659724835093,-0.05257514320336676,-1.6,-1,0.39535560540530623,0.03896581898333906,0.5912426378654356,0.04613161659829591
default,Fitting,rulebasedloc200,57,79.5,84.9,0.5647688612981772,0.5544338826782343,27.8,-2.2,0.36852842184859524,0.2787726949896424,0.7295995259126558,0.342797923633367
default,Fitting,sdp,57,97.4,94,0.392742086403837,0.18563893812541588,35.9,-2.6,0.05128751017508992,0.11640836495425089,0.7023085276317034,0.13285848899005337
default,Fitting,starfit,57,72.7,79.7,0.7339088688026597,0.5653122322230891,-18.7,9.3,0.47153140022255735,0.3648804900905739,0.6878496617684178,0.3960462149314865
fitted,Evaluation,gdrom,57,42,69.3,0.9085085209785276,0.7630788652654454,-4.4,1,0.8231349825195933,0.5196893159571666,0.8481528405535701,0.6200970244722137
fitted,Evaluation,h06,57,80.9,97.8,0.633114484165209,0.30004505872313014,-16.4,2.7,0.346060862984811,0.04314512952930605,0.6424188041867532,0.14053499425796526
fitted,Evaluation,natlake,57,92.3,97.4,0.39915559475470186,-0.11320921473907686,-19.5,1.2,0.14696087298595195,0.050363119205928064,0.7171365104903816,0.05113722089463548
fitted,Evaluation,rulebasedloc200,57,55.3,62.1,0.7538575359043846,0.7803604777957183,-13.2,0.8,0.6944915687244291,0.6138111290382728,0.9067407999665983,0.6306611954612942
fitted,Evaluation,sdp,57,53,94.9,0.7791896219676052,0.16839469295261933,-6.9,-0.4,0.7189887158861632,0.09823455151674776,0.7727045465563865,0.11879841939106482
fitted,Evaluation,starfit,57,193.4,85.5,0.39347629931424033,0.6097005585880771,-54.1,12.8,-2.7425947708973064,0.2695184981189228,0.5286172230656715,0.3991525057718663
fitted,Fitting,gdrom,57,44.9,69.7,0.8838883774595799,0.7454160568575376,2.7,-0,0.7980451232254968,0.5136413946543719,0.8044306148877746,0.5597235518432776
fitted,Fitting,h06,57,54,86.8,0.6986273908462115,0.3896313830492192,3.1,-0.8,0.7081886062420809,0.2470252211660049,0.7249632591141563,0.26192933164314436
fitted,Fitting,natlake,57,72.1,96.2,0.3891026340581538,-0.059223614489438914,0.8,-0.9,0.4806643040367117,0.07494032579793675,0.5950896219939745,0.07809750573491636
fitted,Fitting,rulebasedloc200,57,51.4,81.6,0.6808341438810874,0.5621472087026891,4.1,-1.3,0.736204921160486,0.3342124565433734,0.7729583303735941,0.37148833877256304
fitted,Fitting,sdp,57,55.7,88.2,0.6484696195238325,0.23182035474000928,6.1,-0.8,0.6901833412024087,0.22248189118521078,0.73670672927389,0.22349696849583453
fitted,Fitting,starfit,57,71.2,79.7,0.7368927176780411,0.6148224849016739,-19.5,10,0.4934727649363696,0.36416675399338194,0.717450746340382,0.42117063639057245
default,Evaluation,gdrom,63,37.2,58.1,0.8724250850206532,0.8112062177870233,3.7,-1.3,0.8618608002186081,0.6620426760080284,0.8749249139247688,0.6757187997750106
default,Evaluation,h06,63,108,102.7,0.4739154537994342,0.25758904101336577,13.3,-0.9,-0.16578084829083606,-0.05600725535836126,0.24099204024614068,0.09997509135512522
default,Evaluation,natlake,63,77.4,89.1,0.39290408850052194,0.19174157888287968,7.8,-0.6,0.40015759092411374,0.2050533684840089,0.5096006494859299,0.20798367788027153
default,Evaluation,rulebasedloc200,63,89.9,75.5,0.6306604074781487,0.6523948822168857,22,-1.1,0.1908839907456974,0.42955473126930177,0.594101255520198,0.4631113362826337
